テーマ（カテゴリ）,トピック（タイトル）,"質問(What, Who, Where, Whose, How, Yes/No)",解答,難易度（出題者）,難易度（解答者）,URL（元文書）
文化,ブレイキング・バッド,『ブレイキング・バッド』（Breaking Bad）は、誰によって制作された？,ヴィンス・ギリガン,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド
文化,ブレイキング・バッド,『ブレイキング・バッド』（Breaking Bad）の放送期間は？,2008年1月20日 - 2013年9月29日,4,,https://ja.wikipedia.org/wiki/ブレイキング・バッド
文化,ブレイキング・バッド,『ブレイキング・バッド』（Breaking Bad）の撮影は主にどこで行われた？,ニューメキシコ州アルバカーキ,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド
文化,ブレイキング・バッド,『ブレイキング・バッド』（Breaking Bad）はケーブルチャンネルAMCによってどの国で放送されたか？,米国,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド
文化,ブレイキング・バッド,『ブレイキング・バッド』（Breaking Bad）はケーブルチャンネルAMCによってどの国で放送されたか？,カナダ,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド
文化,ブレイキング・バッド,『ブレイキング・バッド』（Breaking Bad）はどの国のテレビドラマシリーズか？,アメリカ,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド
文化,ブレイキング・バッド,ウォルター・ホワイトは誰が演じたか？,ブライアン・クランストン,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトは、なぜ、「メタンフェタミン」（通称メス）の密造を決意したのか？,死ぬ前に家族に財産を残すため,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#あらすじ
文化,ブレイキング・バッド,ウォルター・ホワイトの従弟のハンクはどこに勤めているか？,麻薬取締局,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#あらすじ
文化,ブレイキング・バッド,ウォルター・ホワイトのシリーズ開始時の年齢は何歳か？,50歳,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトの身長は何cmか？,179cm,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトは、何色の眼鏡を着用しているか？,緑,4,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトは、どこの大学を卒業したか？,カリフォルニア工科大学,4,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトは、何を専門にする科学者であるか？,結晶学,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトは、かつて何の研究に従事し、ノーベル化学賞の獲得に貢献したか？,陽子のエックス線撮影,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
