テーマ（カテゴリ）,トピック（タイトル）,"質問(What, Who, Where, Whose, How, Yes/No)",解答,難易度（出題者）,難易度（解答者）,URL（元文書）
人間,ヒト,ヒトの学名はなんですか？,ホモ・サピエンス,3,,https://ja.wikipedia.org/wiki/ヒト#概説
人間,ヒト,ヒトは何属に属する動物ですか？,ヒト属,4,,https://ja.wikipedia.org/wiki/ヒト
人間,ヒト,ヒトは何属に属する動物ですか？,ホモ属,4,,https://ja.wikipedia.org/wiki/ヒト
人間,ヒト,ヒトは何目に属する動物ですか？,霊長目,5,,https://ja.wikipedia.org/wiki/ヒト
人間,ヒト,ヒトは哺乳類ですか？,はい,2,,https://ja.wikipedia.org/wiki/ヒト
人間,ヒト,ヒトは直立二足歩行をしますか？,はい,1,,https://ja.wikipedia.org/wiki/ヒト#特徴
人間,ヒト,ヒトの脳は体全体の重量比では哺乳類中で最大ですか？,はい,3,,https://ja.wikipedia.org/wiki/ヒト#内部形態
人間,ヒト,サル目の中で最も多産な動物はヒトですか？,はい,4,,https://ja.wikipedia.org/wiki/ヒト#生活史
人間,ヒト,ヒトの何食性の動物ですか？,雑食,4,,https://ja.wikipedia.org/wiki/ヒト#習性
人間,ヒト,ヒトは雑食性の動物ですか？,はい,3,,https://ja.wikipedia.org/wiki/ヒト#習性
人間,人種,4大人種とはコーカソイド・ネグロイド・モンゴロイド・オーストラロイドの4つですか？,はい,4,,https://ja.wikipedia.org/wiki/人種#20世紀後半の定説
人間,人種,4大人種とはコーカソイド・ネグロイド・モンゴロイドとあと一つは何ですか？,オーストラロイド,4,,https://ja.wikipedia.org/wiki/人種#20世紀後半の定説
人間,人種,4大人種とはコーカソイド・ネグロイド・オーストラロイドとあと一つは何ですか？,モンゴロイド,4,,https://ja.wikipedia.org/wiki/人種#20世紀後半の定説
人間,人種,4大人種とはコーカソイド・モンゴロイド・オーストラロイドとあと一つは何ですか？,ネグロイド,4,,https://ja.wikipedia.org/wiki/人種#20世紀後半の定説
人間,人種,4大人種とはネグロイド・モンゴロイド・オーストラロイドとあと一つは何ですか？,コーカソイド,4,,https://ja.wikipedia.org/wiki/人種#20世紀後半の定説
人間,人種,日本において初めて人種の学説を論じたのは誰ですか？,福澤諭吉,5,,https://ja.wikipedia.org/wiki/人種#福澤諭吉
人間,人種,日本において初めて人種の学説を論じたのは福澤諭吉ですか？,はい,4,,https://ja.wikipedia.org/wiki/人種#福澤諭吉
人間,人種,人種区分においてモンゴロイドは、アメリンドとアイノイドに分けることができますか？,はい,5,,https://ja.wikipedia.org/wiki/人種#20世紀後半の定説
人間,コーカソイド,コーカソイドに分類される人々の主要な居住地はどこですか？,ヨーロッパ,3,,https://ja.wikipedia.org/wiki/コーカソイド
人間,コーカソイド,コーカソイドに分類される人々の主要な居住地はアフリカですか？,いいえ,3,,https://ja.wikipedia.org/wiki/コーカソイド
人間,コーカソイド,コーカソイドという言葉の由来となったカスピ海と黒海に挟まれた地域を何といいますか？,コーカサス,5,,https://ja.wikipedia.org/wiki/コーカソイド#由来
人間,コーカソイド,コーカソイドは他人種と比べて、平均身長が低いですか？,いいえ,3,,https://ja.wikipedia.org/wiki/コーカソイド#体格
人間,コーカソイド,世界の平均身長の上位国はほぼ全て欧米の国ですか？,はい,3,,https://ja.wikipedia.org/wiki/コーカソイド#体格
人間,コーカソイド,コーカソイドの多くは二重まぶたですか？,はい,2,,https://ja.wikipedia.org/wiki/コーカソイド#眼
人間,ネグロイド,4大人種のうち、一般に黒色人種・黒人と呼ばれるものは何ですか？,ネグロイド,4,,https://ja.wikipedia.org/wiki/ネグロイド
人間,ネグロイド,4大人種のうち、一般に黒色人種・黒人と呼ばれるものはネグロイドですか？,はい,4,,https://ja.wikipedia.org/wiki/ネグロイド
人間,ネグロイド,4大人種のうち、一般に黒色人種・黒人と呼ばれるものはコーカソイドですか？,いいえ,4,,https://ja.wikipedia.org/wiki/ネグロイド
人間,ネグロイド,ネグロイドに分類される人々の主要な居住地はどこですか？,アフリカ,3,,https://ja.wikipedia.org/wiki/ネグロイド
人間,ネグロイド,ネグロイドに分類される人々の主要な居住地はアジアですか？,いいえ,3,,https://ja.wikipedia.org/wiki/ネグロイド
人間,ネグロイド,ネグロイドはラテン語の黒を意味するニゲルに由来しますか？,はい,5,,https://ja.wikipedia.org/wiki/ネグロイド
人間,ネグロイド,人種区分においてネグロイドは、コンゴイドと何に分けることができますか？,カポイド,5,,https://ja.wikipedia.org/wiki/ネグロイド#伝統的な下位区分
人間,ネグロイド,アメリカなどではネグロイドは差別用語とされていますか？,はい,3,,https://ja.wikipedia.org/wiki/ネグロイド#アメリカにおける状況
人間,成年,成人、成年者の反対の言葉は何ですか？,未成年者,1,,https://ja.wikipedia.org/wiki/成年#概要
人間,成年,成年とみなされる年齢はどの国でも同じですか？,いいえ,1,,https://ja.wikipedia.org/wiki/成年#概要
人間,成年,日本での成人年齢は何歳ですか？,20歳,2,,https://ja.wikipedia.org/wiki/成年#成年別の国・地域一覧
人間,成年,ユダヤ教では男性は何歳で成人とみなされますか？,13歳,5,,https://ja.wikipedia.org/wiki/成年#宗教における成年
人間,成年,日本での成人年齢の引き下げはいつ行われますか？,2022年,4,,https://ja.wikipedia.org/wiki/成年#成年の引き下げに関する議論
人間,成年,日本では20歳未満の者は喫煙することができますか？,いいえ,1,,https://ja.wikipedia.org/wiki/成年#20歳以上の者が可能な権利行使
人間,成年,2012年から成人年齢を20歳から19歳に引き下げた国はどこですか？,韓国,5,,https://ja.wikipedia.org/wiki/成年#韓国
人間,死刑,現在の日本では、死刑は廃止されていますか？,いいえ,3,,https://ja.wikipedia.org/wiki/死刑#概要
人間,死刑,現在の日本では死刑はどのように行われていますか？,絞首刑,4,,https://ja.wikipedia.org/wiki/死刑#概要
人間,死刑,2009年に最も死刑執行数が多い国はどこですか？,中国,4,,https://ja.wikipedia.org/wiki/死刑#死刑執行数順位
人間,死刑,2009年の日本の死刑執行数は何人ですか？,7人,5,,https://ja.wikipedia.org/wiki/死刑#死刑執行数順位
人間,死刑,アメリカ合衆国において最初に死刑が廃止されたのは何州ですか？,ミシガン州,5,,https://ja.wikipedia.org/wiki/死刑#アメリカ合衆国
人間,死刑,ヨーロッパで唯一死刑が廃止されていない国はどこですか？,ベラルーシ,5,,https://ja.wikipedia.org/wiki/死刑#ヨーロッパ
人間,死刑,オーストラリアでは死刑が廃止されていますか？,はい,4,,https://ja.wikipedia.org/wiki/死刑#オセアニア
人間,寿命,平均寿命は0歳児の平均余命と同じ意味ですか？,はい,4,,https://ja.wikipedia.org/wiki/寿命#人間の寿命
人間,寿命,平均寿命は一般に先進国の方が開発途上国より短いですか？,いいえ,2,,https://ja.wikipedia.org/wiki/寿命#人間の寿命
人間,寿命,平均寿命が世界一の国はどこですか？,日本,2,,https://ja.wikipedia.org/wiki/寿命#国別平均寿命ランキング
人間,寿命,男性の平均寿命が最短な国はどこですか？,シエラレオネ,5,,https://ja.wikipedia.org/wiki/寿命#国別平均寿命ランキング
人間,寿命,最も寿命が長かった人物は誰ですか？,ジャンヌ・カルマン,5,,https://ja.wikipedia.org/wiki/寿命#最長の人間の寿命
人間,寿命,最長の人間の寿命は何歳ですか？,122歳,4,,https://ja.wikipedia.org/wiki/寿命#最長の人間の寿命
人間,寿命,一般に男性の方が女性より平均寿命が長いですか？,いいえ,2,,https://ja.wikipedia.org/wiki/寿命#人間の寿命
人間,言語,インド領のアンダマン諸島において言語が一つ消滅したのはいつですか？,2010年,5,,https://ja.wikipedia.org/wiki/言語#概要
人間,言語,1970年代に発生した最も新しい言語は何ですか？,ニカラグア手話,5,,https://ja.wikipedia.org/wiki/言語#変化
人間,言語,世界で最も母国語者が多い言語はなんですか？,中国語,3,,https://ja.wikipedia.org/wiki/言語#普段話されている言語の人口順位（上位10言語）
人間,言語,世界で二番目に母国語者が多い言語は何ですか？,スペイン語,4,,https://ja.wikipedia.org/wiki/言語#普段話されている言語の人口順位（上位10言語）
人間,言語,英語は世界で最も母国語者が多い言語ですか？,いいえ,2,,https://ja.wikipedia.org/wiki/言語#普段話されている言語の人口順位（上位10言語）
