Theme (Category),Topic (Title),"Question (What, Who, Where, Whose, How, Yes/No)",Answer,Difficulty (by Author),Difficulty (by Answerer),URL (Original Content)
自然,周期表,周期表は原則的に，左上から何の順に並ぶように作成されていますか？,原子番号,3,,https://ja.wikipedia.org/wiki/周期表#解説
自然,周期表,一般に周期表は1869年に誰によって提案されたといわれていますか？,ドミトリ・メンデレーエフ,4,,https://ja.wikipedia.org/wiki/周期表#解説
自然,周期表,元素の性質を簡潔かつ完成度が高く示した周期表は「化学の」何といわれていますか？,バイブル,4,,https://ja.wikipedia.org/wiki/周期表#解説
自然,周期表,アントワーヌ・ラヴォアジエが作成した33個の元素が記載されたリストは何年に作成されましたか？,1789,5,,https://ja.wikipedia.org/wiki/周期表#歴史
自然,周期表,1864年，既知49種類の元素を原子容（原子体積）に着目し16列に分けた周期表を考案したのは誰ですか？,ロータル・マイヤー,5,,https://ja.wikipedia.org/wiki/周期表#先駆的な周期表の考察
自然,周期表,1860年に「元素の質量測定」を命題とした史上初の国際化学者会議が開催されたのはどこですか？,カールスルーエ,,,https://ja.wikipedia.org/wiki/周期表#メンデレーエフの周期表
自然,周期表,最外殻電子が元素の特徴に大きな影響を与える点を考慮して周期表を領域でわける分類を何といいますか？,ブロック,4,,https://ja.wikipedia.org/wiki/周期表#ブロック
自然,周期表,周期とは，周期表における横方向の集合のことですか？,Yes,3,,https://ja.wikipedia.org/wiki/周期表#周期
自然,周期表,周期表は1960年代後半から1970年代前半まで，理科教育現場では1980年代頃まで別の用語が使われていたが，それは何ですか？,周期律表,4,,https://ja.wikipedia.org/wiki/周期表#表記について
自然,周期表,希ガスにおいてキセノンの下に続く元素は何ですか？,ラドン,4,,https://ja.wikipedia.org/wiki/周期表#周期表
自然,新・世界七不思議 自然版,新・世界七不思議 自然版は、何という組織が主宰していますか？,新世界七不思議財団,5,,https://ja.wikipedia.org/wiki/新・世界七不思議_自然版
自然,新・世界七不思議 自然版,国際的な詐欺ではないかと疑われていますか？,はい,3,,https://ja.wikipedia.org/wiki/新・世界七不思議_自然版
自然,新・世界七不思議 自然版,新世界七不思議財団は誰が設立しましたか？,ベルナルド・ウェーバー,5,,https://ja.wikipedia.org/wiki/新・世界七不思議_自然版#概要
自然,新・世界七不思議 自然版,新・世界七不思議 自然版は、国際連合教育科学文化機関（ユネスコ）が登録する世界遺産（自然遺産）とはまったく無関係ですか？,はい,3,,https://ja.wikipedia.org/wiki/新・世界七不思議_自然版#概要
自然,新・世界七不思議 自然版,最終候補に選定されたのは、何箇所ですか？,28,5,,https://ja.wikipedia.org/wiki/新・世界七不思議_自然版#概要
自然,新・世界七不思議 自然版,SMSや電話での投票は無制限に行うことが可能ですか？,はい,3,,https://ja.wikipedia.org/wiki/新・世界七不思議_自然版#投票
自然,小笠原諸島の自然,これまで一度も大陸や大きな島と陸続きになったことがない島を何といいますか？,大洋島,4,,https://ja.wikipedia.org/wiki/小笠原諸島の自然
自然,小笠原諸島の自然,小笠原諸島内の多くの地域は何公園に指定されていますか？,小笠原国立公園,3,,https://ja.wikipedia.org/wiki/小笠原諸島の自然
自然,小笠原諸島の自然,小笠原諸島は何年に世界遺産の自然遺産に登録されましたか？,2011年,3,,https://ja.wikipedia.org/wiki/小笠原諸島の自然
自然,小笠原諸島の自然,小笠原諸島の総面積は約何平方キロメートルですか？,105,5,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#小笠原諸島の概要
自然,小笠原諸島の自然,生物地理区の区分上において、小笠原諸島はオセアニア区に属していないですか？,いいえ,5,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#小笠原諸島の生物相の特徴
自然,小笠原諸島の自然,小笠原諸島唯一の裸子植物は何ですか？,シマムロ,5,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#植物相
自然,小笠原諸島の自然,小笠原群島の中で最高点は標高何メートルですか？,462,5,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#湿性高木林と雲霧帯
自然,小笠原諸島の自然,小笠原諸島で確認された絶滅種は何ですか？,オガサワラカラスバト,5,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#絶滅種について
自然,小笠原諸島の自然,小笠原諸島で確認された絶滅種は何ですか？,オガサワラガビチョウ,5,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#絶滅種について
自然,小笠原諸島の自然,小笠原諸島で確認された絶滅種は何ですか？,オガサワラマシコ,5,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#絶滅種について
自然,風,空気の流れのこと、あるいは流れる空気自体のことを何と言いますか？,風,1,,https://ja.wikipedia.org/wiki/風
自然,風,「風」に対して、風が全くない無風状態のことを何といいますか？,凪,3,,https://ja.wikipedia.org/wiki/風#「風」という言葉の意味
自然,風,風の２つの要素は何ですか？,風向と風速,3,,https://ja.wikipedia.org/wiki/風#風の要素
自然,風,垂直方向の風を表現する際は、何を用いますか？,鉛直p速度,4,,https://ja.wikipedia.org/wiki/風#風の要素
自然,風,天気図で言うと、等圧線の間隔が狭いほど風は弱いですか？,いいえ,2,,https://ja.wikipedia.org/wiki/風#原因
自然,風,風の変化の周期には傾向がありますか？,はい,3,,https://ja.wikipedia.org/wiki/風#風の変化
自然,風,數十分~数日間程度連続する風速の大きい風を何と言いますか？,強風,3,,https://ja.wikipedia.org/wiki/風#風の変化
自然,風,突風はどのような風ですか？,数秒~数分程度の短時間吹く風速の大きい風,3,,https://ja.wikipedia.org/wiki/風#風の変化
自然,風,海岸付近では日中と夜間で風向が逆転することが多く、これを何風といいますか？,海陸風,3,,https://ja.wikipedia.org/wiki/風#それぞれの地域の風
自然,風,住居へ吹きこむ風を和らげる工夫として、何がありますか？,生垣,2,,https://ja.wikipedia.org/wiki/風#生活
自然,風,住居へ吹きこむ風を和らげる工夫として、何がありますか？,石垣,2,,https://ja.wikipedia.org/wiki/風#生活
自然,火,熱と光を出す現象を何と言いますか？,火,1,,https://ja.wikipedia.org/wiki/火
自然,火,燃焼している物質の種類や含有している物質により、炎の色や強さが変化しますか？,はい,2,,https://ja.wikipedia.org/wiki/火
自然,火,人類は何に火を利用してきましたか？,調理,2,,https://ja.wikipedia.org/wiki/火
自然,火,人類は何に火を利用してきましたか？,暖房,2,,https://ja.wikipedia.org/wiki/火
自然,火,人類は何に火を利用してきましたか？,合図,3,,https://ja.wikipedia.org/wiki/火
自然,火,人類は何に火を利用してきましたか？,動力源,2,,https://ja.wikipedia.org/wiki/火
自然,火,ろうそくの炎は何℃ですか？,1000℃,4,,https://ja.wikipedia.org/wiki/火#熱
自然,火,火を維持するためには何が必要ですか？,燃料,3,,https://ja.wikipedia.org/wiki/火#維持
自然,火,火を維持するためには何が必要ですか？,酸素,3,,https://ja.wikipedia.org/wiki/火#維持
自然,ラムサール条約,ラムサール条約は何を守るための国際条約ですか？,湿地,2,,https://ja.wikipedia.org/wiki/ラムサール条約
自然,ラムサール条約,制定された日はいつですか？,2/2/71,5,,https://ja.wikipedia.org/wiki/ラムサール条約
自然,ラムサール条約,正式題名は何ですか？,特に水鳥の生息地として国際的に重要な湿地に関する条約,5,,https://ja.wikipedia.org/wiki/ラムサール条約
自然,ラムサール条約,2009年2月現在の登録地数は何箇所ですか？,1832箇所,5,,https://ja.wikipedia.org/wiki/ラムサール条約#概要
自然,ラムサール条約,日本政府が最初の指定地候補に挙げた場所はどこですか？,釧路湿原,4,,https://ja.wikipedia.org/wiki/ラムサール条約#概要
自然,ラムサール条約,2015年5月２９日現在、日本国内における登録湿地は合計何箇所ありますか？,50箇所,4,,https://ja.wikipedia.org/wiki/ラムサール条約#日本の登録湿地
自然,レッドリスト,レッドリストは国際自然保護連合が作成した何のリストですか？,絶滅のおそれのある野生生物,2,,https://ja.wikipedia.org/wiki/レッドリスト
自然,レッドリスト,最初のIUCN版レッドリストはいつ作成されましたか？,1966年,5,,https://ja.wikipedia.org/wiki/レッドリスト#概要
自然,レッドリスト,1940年代~1968年に統一された用語や評価基準はありましたか？,いいえ,4,,https://ja.wikipedia.org/wiki/レッドリスト#カテゴリーと基準
自然,レッドリスト,1969年にカテゴリの統一化、整理が進み、定められた４つの評価基準は何ですか？,絶滅危惧,4,,https://ja.wikipedia.org/wiki/レッドリスト#カテゴリーと基準
自然,レッドリスト,1969年にカテゴリの統一化、整理が進み、定められた４つの評価基準は何ですか？,希少,4,,https://ja.wikipedia.org/wiki/レッドリスト#カテゴリーと基準
自然,レッドリスト,1969年にカテゴリの統一化、整理が進み、定められた４つの評価基準は何ですか？,減少,4,,https://ja.wikipedia.org/wiki/レッドリスト#カテゴリーと基準
自然,レッドリスト,1969年にカテゴリの統一化、整理が進み、定められた４つの評価基準は何ですか？,非認定,4,,https://ja.wikipedia.org/wiki/レッドリスト#カテゴリーと基準
自然,世界遺産,世界遺産は、「顕著な普遍的価値」を有する文化遺産や自然遺産のことですか？,はい,1,,https://ja.wikipedia.org/wiki/世界遺産#概要
自然,世界遺産,世界遺産は、どこの審議を経て決定されますか？,世界遺産委員会,4,,https://ja.wikipedia.org/wiki/世界遺産#概要
自然,世界遺産,保存にとって脅威となる状況に置かれている遺産をなんといいますか？,危機遺産,3,,https://ja.wikipedia.org/wiki/世界遺産#概要
自然,世界遺産,世界遺産リストから初めて抹消された物件は何ですか？,アラビアオリックスの保護区,5,,https://ja.wikipedia.org/wiki/世界遺産#概要
自然,世界遺産,ユネスコはいつ設立されましたか？,1945年,3,,https://ja.wikipedia.org/wiki/世界遺産#前史
自然,世界遺産,日本の世界遺産のうち、最初の文化遺産は法隆寺とどこでしょう？,姫路城,4,,https://ja.wikipedia.org/wiki/世界遺産#登録対象の拡大
自然,小歩危ダム計画,小歩危ダム計画は何県で計画されていたダム計画ですか？,徳島県,1,,https://ja.wikipedia.org/wiki/小歩危ダム計画
自然,小歩危ダム計画,当初の計画では総貯水量何トンの多目的ダムとして計画されていましたか？,3億７５０万トン,5,,https://ja.wikipedia.org/wiki/小歩危ダム計画
自然,小歩危ダム計画,最終的には計画が中止となりましたか？,はい,1,,https://ja.wikipedia.org/wiki/小歩危ダム計画
自然,小歩危ダム計画,吉野川総合開発計画が策定されたのはいつですか？,1950年,5,,https://ja.wikipedia.org/wiki/小歩危ダム計画#沿革
自然,小歩危ダム計画,現在「四国のいのち」と呼ばれる四国四県の水がめとなっているダムは何ですか？,早明浦ダム,3,,https://ja.wikipedia.org/wiki/小歩危ダム計画#沿革
自然,小歩危ダム計画,小歩危ダム計画は、いつ中止になりましたか？,1971年,5,,https://ja.wikipedia.org/wiki/小歩危ダム計画#中止へ
自然,音,心理学的には周波数が人間の可聴域にあるもののみをさしますか？,はい,4,,https://ja.wikipedia.org/wiki/音
自然,音,物理学的には音は何ですか？,音波,3,,https://ja.wikipedia.org/wiki/音
自然,音,音は何と何に分けられますか？,楽音と騒音,4,,https://ja.wikipedia.org/wiki/音
自然,音,音を伝える物質は何と呼ばれますか？,媒質,2,,https://ja.wikipedia.org/wiki/音#物理学における音：音波
自然,音,鋼鉄の棒での音速は何m/sですか？,5000m/s,4,,https://ja.wikipedia.org/wiki/音#音速
自然,音,音波によっって引き起こされる周囲からの圧力のずれを何と言いますか？,音圧,3,,https://ja.wikipedia.org/wiki/音#音圧
自然,水,水は水素と酸素の化合物ですか？,はい,1,,https://ja.wikipedia.org/wiki/水
自然,水,誰が分子説を唱えましたか？,アボガドロ,4,,https://ja.wikipedia.org/wiki/水#概説
自然,水,生物体を構成する物質で、最も多くを占めるのは水ですか？,はい,1,,https://ja.wikipedia.org/wiki/水#概説
自然,水,現代の人類の水の使用量の約７割は何に使われているでしょう？,農業用水,4,,https://ja.wikipedia.org/wiki/水#概説
自然,水,英語やフランス語などでは、液体であれば温度によらず名称は不変ですか？,はい,3,,https://ja.wikipedia.org/wiki/水#呼称
