Theme (Category),Topic (Title),"Question (What, Who, Where, Whose, How, Yes/No)",Answer,Difficulty (by Author),Difficulty (by Answerer),URL (Original Content)
技術,Git,Gitはバージョン管理システムですか？,はい,1,,https://ja.wikipedia.org/wiki/Git
技術,Git,Gitのメンテナスを担当する日本人は誰ですか？,濱野純,5,,https://ja.wikipedia.org/wiki/Git
技術,Git,Gitはいつ開発されましたか？,2005年,4,,https://ja.wikipedia.org/wiki/Git#背景および概要
技術,Git,Gitの設計の元になったものは何ですか？,BitKeeper,5,,https://ja.wikipedia.org/wiki/Git#設計
技術,Git,Gitの設計の元になったものは何ですか？,Monotone,5,,https://ja.wikipedia.org/wiki/Git#設計
技術,Git,英語のスラングとして、Gitには「バカ」「間抜け」といった類の意味がありますか？,はい,4,,https://ja.wikipedia.org/wiki/Git#名前の由来
技術,Git,プロジェクト全体の変更履歴を調べるよりも、一つのファイルの変更履歴を調べる方が時間がかかりますか？,はい,4,,https://ja.wikipedia.org/wiki/Git#設計
技術,宇宙に行った動物,2011年現在、自国の宇宙計画によって動物を宇宙へ送った国はどこですか？,ソビエト連邦,3,,https://ja.wikipedia.org/wiki/宇宙に行った動物
技術,宇宙に行った動物,2011年現在、自国の宇宙計画によって動物を宇宙へ送った国はどこですか？,アメリカ合衆国,3,,https://ja.wikipedia.org/wiki/宇宙に行った動物
技術,宇宙に行った動物,2011年現在、自国の宇宙計画によって動物を宇宙へ送った国はどこですか？,フランス,4,,https://ja.wikipedia.org/wiki/宇宙に行った動物
技術,宇宙に行った動物,2011年現在、自国の宇宙計画によって動物を宇宙へ送った国はどこですか？,中華人民共和国,3,,https://ja.wikipedia.org/wiki/宇宙に行った動物
技術,宇宙に行った動物,2011年現在、自国の宇宙計画によって動物を宇宙へ送った国はどこですか？,日本,3,,https://ja.wikipedia.org/wiki/宇宙に行った動物
技術,宇宙に行った動物,2011年現在、自国の宇宙計画によって動物を宇宙へ送った国はどこですか？,イラン,4,,https://ja.wikipedia.org/wiki/宇宙に行った動物
技術,宇宙に行った動物,宇宙に送られた初の動物は何ですか？,ミバエ,4,,https://ja.wikipedia.org/wiki/宇宙に行った動物#1940年代
技術,宇宙に行った動物,軌道を周回した初の動物は何ですか？,犬,3,,https://ja.wikipedia.org/wiki/宇宙に行った動物#1950年代
技術,宇宙に行った動物,軌道を周回した初の犬の名前は何ですか？,ライカ,4,,https://ja.wikipedia.org/wiki/宇宙に行った動物#1950年代
技術,宇宙に行った動物,宇宙飛行(弾道飛行)から生きて帰還した初のサルの名前は何ですか？,エーブル,4,,https://ja.wikipedia.org/wiki/宇宙に行った動物#1950年代
技術,宇宙に行った動物,宇宙飛行(弾道飛行)から生きて帰還した初のサルの名前は何ですか？,ベーカー,4,,https://ja.wikipedia.org/wiki/宇宙に行った動物#1950年代
技術,宇宙に行った動物,地球軌道を周回して生還した初の犬の名前は何ですか？,ベルカ,5,,https://ja.wikipedia.org/wiki/宇宙に行った動物#1960年代
技術,宇宙に行った動物,地球軌道を周回して生還した初の犬の名前は何ですか？,ストレルカ,5,,https://ja.wikipedia.org/wiki/宇宙に行った動物#1960年代
技術,大和 (戦艦),大和は大和型戦艦の１番艦ですか？,はい,2,,https://ja.wikipedia.org/wiki/大和 (戦艦)
技術,大和 (戦艦),大和の艦名は何県の旧国名に由来しますか？,奈良県,3,,https://ja.wikipedia.org/wiki/大和 (戦艦)#概要
技術,大和 (戦艦),大和は戦艦として史上最大の排水量ですか？,はい,4,,https://ja.wikipedia.org/wiki/大和 (戦艦)#概要
技術,大和 (戦艦),大和の就役は何年ですか？,1941年,5,,https://ja.wikipedia.org/wiki/大和 (戦艦)#概要
技術,大和 (戦艦),初出撃となった作戦は何ですか？,ミッドウェー作戦,4,,https://ja.wikipedia.org/wiki/大和 (戦艦)#概要
技術,大和 (戦艦),撃沈された場所はどこですか？,坊ノ岬,3,,https://ja.wikipedia.org/wiki/大和 (戦艦)#概要
技術,大和 (戦艦),「戦艦大和戦死者之碑」があるのはどこですか？,呉市,5,,https://ja.wikipedia.org/wiki/大和 (戦艦)#戦後
技術,大和 (戦艦),戦艦大和慰霊塔が建立されているのはどこですか？,徳之島,5,,https://ja.wikipedia.org/wiki/大和 (戦艦)#戦後
