Theme (Category),Topic (Title),"Question (What, Who, Where, Whose, How, Yes/No)",Answer,Difficulty (by Author),Difficulty (by Answerer),URL (Original Content)
徳島大学シラバス平成30年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎の開講学期はいつですか？,2年・前期,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成31年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎の担当教員は誰ですか？,日下　一也，安澤　幹人，寺田　賢治，芥川　正武，塚越　雅幸,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成32年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎の単位数はいくつですか？,2,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成33年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎の授業の目的の一つは，プロジェクトを企画・実践するために必要な何の能力を習得することですか？,マネジメント能力,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成34年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎の成績評価方法・基準の10%を占めるものは何ですか？,報告会におけるプレゼンテーション評価,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成35年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎の受講者は，能動的（積極的）に実習に参加しなければならないですか？,Yes,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成36年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造の科目分野は何ですか？,理工学,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300425sirabasuhiru.pdf
徳島大学シラバス平成37年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造の担当教員は誰ですか？,出口　祥啓,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300426sirabasuhiru.pdf
徳島大学シラバス平成38年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造の授業の目的は，知的財産に対する理解を深め，何を明確にすることですか？,アイデア創出の目標設定,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300427sirabasuhiru.pdf
徳島大学シラバス平成39年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造のキーワードは，創造性，独自性，知的財産ともうひとつは何ですか？,ものづくり,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300428sirabasuhiru.pdf
